                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0081,                 2.5575,                 1.0786,                0.49342,                0.18513,                0.18746,                0.13421,                0.75991,                 1.3046,                0.92828,                0.09115,             0.00098333,             0.00098333
                      2,                0.79083,                 1.1132,                 0.9742,                0.82307,                0.35106,                0.39008,                0.28234,                0.70046,                0.86066,                0.89492,               0.082137,              0.0019702,              0.0019702
                      3,                0.74214,                0.84628,                0.94001,                0.60897,                0.54275,                0.56293,                0.41378,                 0.6711,                0.67743,                 0.8833,               0.073111,               0.002944,               0.002944
                      4,                0.73146,                0.75024,                0.92688,                0.75246,                0.59319,                0.67348,                0.48902,                0.68534,                0.61413,                0.87856,               0.064071,              0.0039045,              0.0039045
                      5,                0.73384,                0.69556,                0.91897,                0.68435,                0.70424,                 0.7169,                0.51307,                0.67872,                 0.5958,                0.87834,               0.055018,              0.0048518,              0.0048518
                      6,                0.73232,                 0.6767,                0.92309,                0.75055,                0.67068,                0.73768,                0.53233,                0.69511,                0.58222,                0.88141,               0.045953,              0.0057859,              0.0057859
                      7,                0.74032,                0.65784,                0.92175,                0.71693,                0.72394,                0.76809,                0.54822,                0.65386,                0.55828,                0.87339,               0.036873,              0.0067068,              0.0067068
                      8,                0.75631,                0.64942,                0.92672,                0.75327,                0.73827,                0.76524,                0.55045,                0.67718,                0.58749,                0.88671,               0.027781,              0.0076145,              0.0076145
                      9,                0.76089,                0.64666,                0.93112,                0.72819,                0.70388,                0.74721,                0.52828,                0.72391,                0.63398,                 0.9086,               0.018676,               0.008509,               0.008509
                     10,                0.79537,                0.66183,                0.94597,                0.79719,                0.66126,                0.73454,                0.50371,                0.80126,                0.68453,                0.92891,               0.009557,              0.0093903,              0.0093903
                     11,                0.83199,                0.69461,                0.95598,                0.75835,                0.65041,                0.74592,                 0.5155,                0.79234,                0.78734,                0.93885,                0.00934,                0.00934,                0.00934
                     12,                0.82952,                0.68685,                0.96072,                0.66989,                0.63316,                 0.6959,                0.46011,                 0.8457,                0.80392,                 0.9646,               0.009274,               0.009274,               0.009274
                     13,                0.81368,                0.66147,                0.96153,                0.69813,                0.64773,                0.71267,                0.48994,                0.79652,                0.71005,                0.94239,               0.009208,               0.009208,               0.009208
                     14,                 0.8125,                0.63761,                0.95919,                0.72235,                0.66605,                0.72083,                0.50215,                0.80534,                0.74812,                0.95281,               0.009142,               0.009142,               0.009142
                     15,                 0.7993,                0.64147,                0.95742,                0.76416,                 0.7638,                0.79938,                0.56839,                0.75686,                0.62468,                0.93367,               0.009076,               0.009076,               0.009076
                     16,                0.79847,                 0.6108,                0.95344,                0.69398,                0.74786,                 0.7718,                0.54099,                0.76241,                0.64221,                0.93185,                0.00901,                0.00901,                0.00901
                     17,                0.79042,                0.60246,                0.94904,                0.81094,                0.74675,                0.79496,                0.55047,                0.76298,                0.60875,                0.92968,               0.008944,               0.008944,               0.008944
                     18,                 0.7844,                0.59148,                0.94208,                0.75912,                0.72915,                0.78109,                0.54471,                0.75906,                0.62669,                0.92336,               0.008878,               0.008878,               0.008878
                     19,                0.77901,                0.58906,                0.94711,                0.77876,                0.74598,                0.80415,                0.57642,                0.74966,                0.58475,                0.92128,               0.008812,               0.008812,               0.008812
                     20,                0.77701,                0.58728,                0.94625,                0.79279,                0.75229,                 0.8169,                0.58616,                0.74464,                0.59166,                0.91986,               0.008746,               0.008746,               0.008746
                     21,                0.76715,                0.56767,                0.94148,                0.80107,                0.75716,                 0.8265,                0.57762,                0.73816,                0.58393,                0.91997,                0.00868,                0.00868,                0.00868
                     22,                0.75534,                0.56101,                0.93833,                0.77702,                0.77132,                0.81311,                 0.5806,                0.74821,                0.60287,                0.92721,               0.008614,               0.008614,               0.008614
                     23,                0.75167,                0.54828,                 0.9408,                0.79479,                0.74402,                0.83034,                0.58632,                 0.7416,                0.55741,                0.92762,               0.008548,               0.008548,               0.008548
                     24,                0.73762,                0.54464,                0.93744,                0.77299,                0.78029,                0.81654,                0.59337,                0.73226,                0.56784,                0.91993,               0.008482,               0.008482,               0.008482
                     25,                 0.7341,                0.54132,                 0.9298,                0.88361,                0.75344,                0.85824,                0.62835,                 0.7127,                0.54939,                0.91084,               0.008416,               0.008416,               0.008416
                     26,                0.72985,                0.53648,                0.92668,                0.83281,                0.76224,                0.84179,                0.60573,                 0.7226,                0.54028,                0.91387,                0.00835,                0.00835,                0.00835
                     27,                0.73065,                0.53179,                0.93197,                0.77676,                 0.7834,                0.83191,                0.60149,                0.71904,                0.53929,                0.90957,               0.008284,               0.008284,               0.008284
                     28,                0.72587,                0.52589,                0.92815,                0.82893,                0.74739,                0.82072,                0.59093,                0.71557,                0.54619,                0.91243,               0.008218,               0.008218,               0.008218
                     29,                0.71283,                0.51369,                0.92197,                 0.8043,                0.80519,                0.84698,                0.60879,                0.71912,                0.54823,                 0.9117,               0.008152,               0.008152,               0.008152
                     30,                0.71353,                0.51542,                0.92255,                0.78949,                0.80874,                0.85287,                0.62023,                0.69755,                0.52555,                0.91015,               0.008086,               0.008086,               0.008086
                     31,                0.70914,                0.50948,                0.91729,                0.80042,                0.79991,                0.85031,                0.61769,                0.69572,                0.52543,                0.90202,                0.00802,                0.00802,                0.00802
                     32,                0.70119,                0.50374,                0.92246,                0.89102,                0.77363,                0.87641,                0.63531,                0.70746,                0.53157,                0.91655,               0.007954,               0.007954,               0.007954
                     33,                0.70239,                0.50138,                0.92002,                0.78544,                 0.8392,                0.87762,                0.64884,                0.70837,                0.51991,                0.90548,               0.007888,               0.007888,               0.007888
